Estrellas,HIP,dist (Eric),dist (ANEXO),Vmag,AbsMag (Eric),Abs Mag (ANEXO)
α Trianguli Australis (Atria),82273,127.388535,127.3006135,1.91,-3.615651716,"-3,62"
ε Scorpii (Wei),82396,20.06018054,19.93865031,2.29,0.778325813,"+0,78"
λ Scorpii (Shaula),85927,215.5172414,174.8466258,1.62,-5.047410097,"-5,05"
α Ophiuchi (Rasalhague o Ras Alhague),86032,14.31844215,14.32515337,2.08,1.300521153,"+1,30"
θ Scorpii (Sargas o Girtab),86228,83.4028357,82.82208589,1.86,-2.745904085,"-2,75"
ε Sagittarii (Kaus Australis),90185,44.345898,44.47852761,1.79,-1.444267269,"-1,45"
λ Sagittarii (Kaus Borealis),90496,23.69668246,23.71165644,2.82,0.946562255,"+0,94 "
α Lyrae (Vega),91262,7.756146746,7.760736196,0.03,0.581769913,0.58
Ross 154,92403,2.971944841,2.969325153,10.37,13.00479628,"+13,08"
σ Sagittarii (Nunki),92855,68.77579092,68.71165644,2.05,-2.137177967,"-2,14"
γ Aquilae (Tarazed),97278,141.2429379,141.4110429,2.72,-3.029833712,"-3,03"
α Aquilae (Altair),97649,5.142974697,5.13190184,0.76,2.203928062,2.22
α Pavonis (Peacock),100751,56.17977528,56.13496933,1.94,-1.807899988,"-1,81"
"α Cygni (Deneb, Arided o Aridif)",102098,990.0990099,437.1165644,1.25,-8.728393131,"-7,2 (aprox)"
ζ Capricorni (Marakk),105881,122.1001221,122.0858896,3.77,-1.663580491,"-1,66"
α Gruis (Alnair),109268,31.09452736,30.98159509,1.73,-0.7334198,"-0,74"
β Canum Venaticorum (Asterion o Chara),109358,534.7593583,8.404907975,9.19,0.549208033,"+4,65"
β Gruis (Gruid),112122,52.1648409,52.14723926,2.07,-1.516889436,"-1,52"
α Piscis Austrini (Fomalhaut),113368,7.687576876,7.668711656,1.17,1.741052641,"+1,73"
