Estrellas,HIP,dist (Eric),dist (ANEXO),Vmag,AbsMag (Eric),Abs Mag (ANEXO)
θ Centauri (Menkent),68933,18.684603886397603,18.68098159509202,2.06,0.7025805237988343,"+0,70"
α Bootis (Arturo),69673,11.254924029262801,11.257668711656445,-0.05,-0.3067128392933977,"−0,29"
α Centauri B (Rigil Kentaurus o Toliman),71681,1.3474909718104886,1.3803680981595092,1.35,5.702370679522524,"15,49"
α Centauri A (Rigil Kentaurus o Toliman),71683,1.3474909718104886,1.3803680981595092,-0.01,4.342370679522524,"15,49"
α Lupi (Kakkab o Men),71860,168.06722689075622,168.71165644171782,2.3,-3.8274151713572513,"-3,83"
β Ursae Minoris (Kochab),72607,38.774718883288095,39.570552147239276,2.07,-0.8727432893103129,"-0,88 "
γ Ursae Minoris (Pherkad),75097,147.27540500736376,147.23926380368098,3.0,-2.840651128597492,"-2,84"
α Scorpii (Antares),80763,185.1851851851852,168.71165644171782,1.06,-5.278031200885156,"-5,28"
α Trianguli Australis (Atria),82273,127.38853503184707,127.30061349693251,1.91,-3.615651716273735,"-3,62"
ε Scorpii (Wei),82396,20.06018054162487,19.938650306748468,2.29,0.7783258132383732,"+0,78"
λ Scorpii (Shaula),85927,215.51724137931026,174.84662576687114,1.62,-5.047410097225595,"-5,05"
α Ophiuchi (Rasalhague o Ras Alhague),86032,14.3184421534937,14.325153374233132,2.08,1.3005211534875665,"+1,30"
θ Scorpii (Sargas o Girtab),86228,83.40283569641367,82.82208588957056,1.86,-2.745904084505756,"-2,75"
ε Sagittarii (Kaus Australis),90185,44.34589800443457,44.47852760736197,1.79,-1.4442672689301022,"-1,45"
λ Sagittarii (Kaus Borealis),90496,23.696682464454977,23.711656441717796,2.82,0.9465622548083696,"+0,94 "
α Lyrae (Vega),91262,7.756146746296438,7.7607361963190185,0.03,0.5817699133200118,0.58
Ross 154,92403,2.971944840703756,2.9693251533742333,10.37,13.004796276711225,"+13,08"
σ Sagittarii (Nunki),92855,68.77579092159561,68.71165644171779,2.05,-2.137177967384905,"-2,14"
γ Aquilae (Tarazed),97278,141.24293785310738,141.41104294478532,2.72,-3.0298337115511544,"-3,03"
α Aquilae (Altair),97649,5.142974696564493,5.131901840490798,0.76,2.2039280620125226,2.22
α Pavonis (Peacock),100751,56.179775280898866,56.13496932515338,1.94,-1.807899988455529,"-1,81"
"α Cygni (Deneb, Arided o Aridif)",102098,990.0990099009888,437.11656441717787,1.25,-8.728393131086785,"-7,2 (aprox)"
ζ Capricorni (Marakk),105881,122.10012210012206,122.08588957055215,3.77,-1.6635804911979064,"-1,66"
α Gruis (Alnair),109268,31.09452736318408,30.98159509202454,1.73,-0.7334197996179319,"-0,74"
β Canum Venaticorum (Asterion o Chara),109358,534.7593582887699,8.404907975460121,9.19,0.5492080326824951,"+4,65"
β Gruis (Gruid),112122,52.16484089723525,52.147239263803684,2.07,-1.5168894356096865,"-1,52"
α Piscis Austrini (Fomalhaut),113368,7.6875768757687535,7.668711656441718,1.17,1.7410526412499658,"+1,73"
